person_id,ability
1,"Installation and Building Server, Running Backups, Recovering and Restoring Models, Support various MS SQL Server, MS SQL Server 2005/2008, environments from SQL Server, /2008R2R2/2012/2014, 2005 thru SQL Server 2008r2 as, administration including, well as with SQL Server 2012 on, installation, configuration,, upgrades, capacity planning,, performance tuning, backup and, recovery., Familiar with virtualization and, managing SQL databases in a, virtual environment., Management of users including, creation/alteration, grant of, system/DB roles and permissions, on various database objects., Design and implement SQL Server, 201, databases for mission-critical, 2005, SQL Server 2008 R2,, business., Environment transition planning, (development, test, stage,, production)., Perform routine backup and, recovery testing and documenting, recovery scenarios., Use SQL Profiler for, troubleshooting, monitoring, and, optimization of SQL Server and, SQL code., Manage the production and, development databases including, performance tuning, capacity, planning, SQL Server clustering,, database security configuration,, and database continuity., Excellent analytical,, communication skills, work ethics, and ability to work in a team, environment with strong, determination and commitment to, the deliverables., Highly motivated self-starter with, the ability to work independently."
2,"database management systems administration, developing and maintaining database, working on high-end servers, analyzing business requirements, developing and designing data models, providing and designing db tools, assessing and executing implementing of new technologies, working in coordination with company developers and project managers, developing training programs, training technical support and applications personnel, monitoring performance and capacity, providing resolutions to system problems, providing technical support for sql database environment, overseeing databases development and organization, communicating regularly with staff, creating database with back-up system, monitoring data availability for faster query response, designing conceptual schema as per the client needs, looking after the security of company data, testing and installing latest versions of database management systems, granting access to users as per their needs and requirements"
3,"Over 4+ years of Experience as Architecture, Experienced in Installation and Maintaining Highly Critical Databases in any Operational mode on Unix/Linux, Sun Solaris, Experienced in 10g, 11g, 12c databases, Responsible for installing Oracle 11g and 12c in Single Node & Multi node's Configure host and listener, Experienced in Creating Users, Roles and Profiles, Assigning Roles and Profiles to Users, Experience on Data Guard setup 10g/11g/12c, Expertise in Managing and monitoring Database Storage Structures, Data Files Space, Resizing and Adding new Data files, Maintaining the Cold and Hot, Logical and RMAN Backups of the Databases, Performing Logical Backups Using Export Utility and Restoring Specific Object or Schema Using Import Utility, Monitoring and Performing Daily incremental Backups, Weekly Backups Using RMAN, Experience in Concept of Flashback Mechanism, Having Good and Usable Knowledge on Automatic Storage Management(ASM), Conversion of Non-ASM Database to ASM Database and Monitoring ASM instances, Experience on Cloning User man and RMAN, Experience on Applying patches to Database CPU and PSU and interim Patches, Experience on Performance tuning and Troubleshooting of Database, Maintaining of Buffer Cache, Library Cache, and Dictionary Cache, Taking Care of Wait Events, Analysing Instance and System Performance, Analysing the DB performance Using AWR, ASH and ADDM Reports, Upgrade Database from 10g to 11g and 11g to 12c, Creation of ASM Databases, ASM Instances, Backups & Recovery of Databases, Table-Spaces, Data files, Design and Develop Database Backup, Recovery and Operations Procedures"
4,"SQL management, PostgresSQL, Oracle, MySQL, microsoft office, PHP, .NET, ETL, Data Warehouse, Datastage, Data Stage, Data modeling and database design, Metadata management and repository usage, Manage large databases, Backup and recovery procedures, Solve technical problems, Good communication skills, Procedural skills, Focus on deadlines and deliverables, Work with SQL Management, PostgreSQL, Oracle, MySQL, Microsoft Office"
5,"Scrum Master, Agile software development, Product backlog management, Metrics and status tracking, Dependency management, Problem solving, Continuous improvement, Production support, Oracle database administration, RMAN backups, Security patching, Performance tuning, ASM configuration, Auditing, Database monitoring, Grid-based monitoring, Data Guard configuration, Oracle Streams, Materialized views, Oracle Enterprise Manager, Oracle RAC maintenance, Data replication"
6,"Oracle Database Administration, Database Backup and Recovery, Database Tuning and Optimization, Database Cloning and Migration, Database Patching and Upgrades, Database Security Management, SQL Tuning, PL/SQL Development, Shell Scripting, RMAN, Data Guard, RAC, ASM, GoldenGate, Enterprise Manager, Flashback Technology, Performance Monitoring and Tuning, SQL Tuning Tools, Data Pump, Transportable Tablespaces, Materialized Views, Replication, Technical Support, Equipment Installation and Maintenance, Software Updates, Electrical Safety Testing, Data Entry, Microsoft Excel"
7,"Oracle Database Administration, Oracle Exadata, Oracle Enterprise Manager, Oracle RAC, Linux Administration, Solaris Administration, Database Installation, Database Upgrading, Database Patching, Database Sizing, Database Objects Management, Data Migrations, Database Troubleshooting, Database Performance Tuning, Database Backup and Recovery, Database Integrity and Security, Transparent Data Encryption, Software Quality Assurance, Requirement Gathering, Test Cases Development, Oracle EBS Administration, Oracle Clusterware Administration, ASM Administration, Grid Infrastructure Installation, RMAN Administration, Disaster Recovery Planning, Archival Processing, Data Protection, SQL Tuning, Database Patching, Logical and Physical Data Modeling, Database Migration and Upgrades, Oracle Dataguard Administration, Cross Platform Database Migrations, Database Cloning and Refreshes, Database Performance Monitoring and Tuning, Database Maintenance and Documentation"
8,"Collaborate with a team of diverse and multifaceted database administrators, Effectively gather requirements for business and technical design, development, and testing implementation, Successfully perform database monitoring and tuning, Ensure proper operational activities including backups and restores, troubleshooting of applications, and moves, adds, and changes, Audit, modify, and amend data in systems utilizing SQL commands, bulk import, and manual-editing, Organize logistics with regard to database changes necessary for data conversion, tool configuration, data refresh migration, and other initiatives for large application development projects, Configure, manage & upgraded Windows Servers 2008 R2, 2012 R2 and 2016 specifically as it relates to MS SQL Server installations and mission critical systems, Organized a successful transition from legacy system to new Cloud systems with minimal disruption to the business, Eliminated months of production server issues by systematically troubleshooting and resolving the problem with no further downtime, Reduced the deployment downtown by recommending incremental backup procedures in order to expedite Production code deploys, Improved the release process by implementing and adapting the Agile software development methodology, Effectively oversaw a team of six production support analysts, developers and administrators, Managed production, processes, and job amends and corrections to ensure all SLAs were met, Successfully identified processing deficiencies while driving automation techniques effectively increasing workflow efficiency and maximizing operations, Collaborated directly with a diverse and multifaceted team to ensure minimal downtime of implemented systems with full responsibility for 24/7 application support, Reduced bill cycle turnaround time by one day for billing department while creating statistical scorecards for bill cycle run times, Improved vital processing jobs by reducing process duration by 60%, Managed core database administration activities enterprise-wide including Oracle database configuration, and infrastructure, Successfully administered policy and best practices for all database systems including logical and physical designs, maintenance, backup, and recovery, Effectively drove day to day and routine support, troubleshooting of issues, and backup and recovery, Created and managed roles and profiles including granting, revoking, and updating user access to Oracle databases, Collaborated with a team of six database administrators in an effort to drive daily operational support including database installation, management, and daily support activities, Oversaw management for database design, structure, data integrity, and delivery of data services for multiple systems, Implemented improvements in data management for the IT department ensuring compliance of database policies and procedures, Analyzed database security audit reporting for database access and SOX compliance, Created indexes ensuring optimum database performance and data loading to better manage disk space and optimized disk I/O, Completed database restores and recovery operations including database refreshes of production data to better test and develop databases to ensure all are in sync after restoration"
9,"Database Administration, Database Development, ETL, Replication, SQL Syntax, Query Optimization, Stored Procedures, Index Performance, Data Lakes, Data Warehouses, Triggers, Alerts, Backup Routines, Maintenance, Disaster Recovery, Team Management, Rollout Operations, VB6 Scripting, Data Trending, Data Validation, Migrations, Schema Design, Custom Scripting, Data Consistency, Excel Reporting, VB6, VBA, Project Management, Technical Support, Team Leadership, Liaison, Project Rollout, Order Processing, Warranty"
10,"database design, monitoring & performance tuning, migration, upgrades, backup & recovery, cloning, replication, security implementations, analytical, verbal, written, organizational, team player, motivational style, innovative solutions, manage multiple priorities, perform under pressure, proactive learner, update skills, improve productivity"
11,"Designing, Developing, Managing, Troubleshooting, Databases, Oracle Fusion Middleware, SOA, Oracle EBS, Oracle GoldenGate, Oracle Dataguard, Oracle RAC, Oracle ASM, Oracle Upgrades, Oracle Patching, Performance Tuning, SQL Tuning, RMAN, Backup and Recovery"
12,"Change management, Data integration, Database, databases, Ddl, Encryption, Etl, Excel, Extract, transform, and load, Integration, Integrator, Linux, Ms sql server, Oracle, performance tuning, Rman, security, Sops, Sql, Sql server, Oracle Dba, Sql Database, DBA, Sql Dba"
