person_id,institution,program
1,Lead City University,Bachelor of Science
2,lagos state university,bsc in computer science
3,"JNTU - Kakinada, Andhra Pradesh",Master of Computer Applications in Science and technology
4,University of Informatics,Bachelor in Computer Science
5,Virginia Commomwealth University,
6,"School of Professional and Graduate Studies/Technical Courses, BAKER UNIVERSITY, UNIVERSITY OF ALASKA",General/Business/Science Courses
7,University Of Yaounde,Biochemistry
8,Bowie State University,Bachelor's Degree in BiologyChem / Computer Science
9,"Bridgewater State University, Bristol Community College, University of Massachusetts - Dartmouth","Management - Information Systems, Computer Science/Information Systems"
10,University of Maryland-University College,Information Technology
11,George Washington University,BA Political Science
12,University of Maryland,Associate's degree
13,University of Yaoundé II,Bachelor's Degree
14,The University of Iowa,B.A. in Computer Science
15,Sufia Institute of Science & Technology,Bachelor's in Management in Finance
16,,
17,"University of Trento, Addis Ababa University","Master's in science, Master's in Science"
18,Middle Tennessee State University,Bachelor of Business Administration in Accounting
19,Radford University,Bachelor of Science
20,Stevens Institute of Technology,Computer Science
21,"University of Buea, Lycee of Bandjoun","Bachelor's in Computer Science and Business Management, High school or equivalent in Genaral Study"
22,North Dakota State University,Bachelor of Science
23,"University of Maryland University College, Community College of Baltimore County","Bachelor's in Computer Science, Associate in Information Technology"
24,"OLNC Training Center, University of Buea",BSc in Science of Education
25,"HOWARD UNIVERSITY, UNIVERSITY OF PHOENIX",Bachelor of Science in Business Information Systems
27,North Carolina A&T State University,Industrial Engineering
28,UNLV,Bachelor's in Business Administration
29,Savannah State University,Bachelor of Science in Computer Science
30,MVJ College of Engineering,Bachelor of Engineering
31,"University Of Huddersfield, Jawaharlal Nehru Technological University","Master's in Computer Integrated Manufacturing and Management in Computer Integrated Manufacturing and Management, Bachelor of Engineering in Engineering"
32,"DeVry Institute, Tarrant County Junior College, James Bowie High School","Bachelor's in Information Technology, General Studies, High school or equivalent in General Studies"
33,,
34,"MAIWAND University, Danish Institute","Bachelor of Business Administration in Business Administration, Diploma in Information Technology"
35,"Cascadia Community College, Sensum Computer College","ADMINISTRATION CERTIFICATION, BACHELOR OF INFORMATION TECHNOLOGY in INFORMATION TECHNOLOGY"
36,RAJIV GANDHI TECHNICAL UNIVERSITY,BACHELOR OF ENGINEERING in COMPUTER SCIENCE & ENGINEERING
37,United Methodist University,BSC in Information Systems and Cyber Security
38,Jawaharlal Nehru Technological University Hyderabad,Bachelor of Technology in Technology
40,,
41,University of Uyo,Bachelor of Science in Economics
42,Northern Virginia Community College,Associate of Arts in Early Childhood Development in Education and Certificates
44,"University of Wisconsin - Milwaukee, University of Wisconsin - Whitewater","Master of Library and Information Science in Library and Information Science, Bachelor of Science in Information Science and Technology, Bachelor of Arts in History"
45,"Southern New Hampshire University, HIGH SCHOOL DIPLOMA",BS in Game art and design
46,University of Houston,BBA in Management Information Systems
48,George Mason University,Bachelors of Science in Global and Community Health
50,Bachelor's,
51,Bachelor's,
