person_id,title,firm,Calculated Duration
1,Database Administrator Database Administrator,Family Private Care LLC Incomm,11
2,Database Administrator,Intercontinental Registry,3
3,Oracle Database Administrator Oracle Database Administrator,Cognizant Convergys,11
4,"Amazon Redshift Administrator and ETL Developer, Business Intelligence Database Administrator Database Administrator","MSP Recovery - Fort Lauderdale, FL CEAACES - Quito, Provincia de Pichincha Ceige - Havana, IL",0
5,Scrum Master Oracle Database Administrator/ Scrum Master Junior Oracle Database Administrator,Quest Technologies Prudential Time Warner Cable,7
6,Oracle Database Administrator Oracle Database Administrator Field Service Representative / Technician,SUNTRUST BANK ESTES-EXPRESS ROCHE DIAGNOSTICS FOR ADECCO TECHNICAL,15
7,Oracle Database Administrator Oracle Database Administrator Production Support Database Administrator,Caresource Anthem PNC Bank,0
8,Lead Database Administrator/Developer Production Support Database Administrator Oracle Database Administrator Database Administrator,"Department of Housing and Urban Development Citi Group Citi Group University of Maryland, University College",13
9,Database Administrator / Database Developer Database Administrator Senior Database Specialist Database Specialist Technical Support Consultant Consumer Relations Representative,"Dominion Diagnostics, LLC Teknor Apex Company CVS Health CVS Health CVS Health Kaz USA Inc",13
10,Oracle Database Administrator Database Administrator / Developer NFI Junior DBA,Uber Technologies Inc SYSCO NFI,13
11,Database Administrator Database Administrator Oracle Database Administrator,Booz Allen Hamilton Huntington National Bank Coca Cola,14
12,Senior Oracle Database Administrator Oracle Database Administrator Database Administrator,United Health group Weatherford laboratories Walmart,14
13,Database Administrator Oracle Database Administrator,First Tennessee Bank United Airlines,12
14,Database Administrator Database development Student Administrator Receptionist,"City of Iowa City ITS, University Library IT Office of Statewide Clinical Education Programs",11
15,SQL Database Administrator/SQL DBA SQL Database Administrator/SQL DBA,Bureau of Indian Affairs Census Bureau,6
16,SQL DBA/ Database Administrator SQL DBA/ Database Administrator, ,14
17,SQL Database Administrator/Developer Database Administrator/Developer Graphics Design Assistant,Avant Network ITSC PLC SEMS STUDIO PLC,15
18,SQL Server Database Administrator SQL Server Database Administrator SQL Database Administrator Support,FEDERAL RESERVE BANK OMNITRACS LLC Nationstar Mortgage LLC,0
19,SQL Developer / DBA SQL Database Analyst Database Administrator Database Analyst Application Support Analyst Technical Support Specialist,"United Medical Center Winrock International Clutch Group Driven, Inc Driven, Inc Active-Edge-Techs",0
20,Systems Administrator Database Analyst Systems/ Database Administrator Contract Installation/Network Technician Quality Control Technician,"Automann Hadassah Sango America, Inc Hewlett-Packard Sanofi Genzyme Biosurgery",14
21,Oracle Database Administrator Oracle Database Administrator,Sedgwick CMS 3M Companies Inc,0
22,Oracle Database Administrator Oracle Database Administrator,Department of Education:Osseo School District ISD 279 IBM,12
23,CSR Systems Administrator Systems Developer Associate Database/Systems Administrator,"Shively Brothers Inc J.R. Dahn Construction, LLC Bell Nursery USA, LLC BLC Consulting, LLC",13
24,Oracle Database Administrator Oracle Database Administrator Oracle Database Administrator Oracle Junior DBA,Norton Healthcare Krogers Miso Inc Brightpoint Inc,13
25,Database Administrator (contractor) Junior Database Administrator,ISHGLO-ONE Corporation The Kidz Docs,16
26,DBA/ Database Administrator Junior SQL Server Database Administrator,Bridge IT Support Services LLC Jittu Horticulture PLC MIDROC Technology Group,11
27,Oracle Database Administrator Database Administrator II Remedy Consultant,Executive Office for US Attorneys CACI International Column Technologies,16
28,Database Administrator Male Revue Dancer,Cigna Labare,0
29,"Database Administrator, Intern Client Support, Intern Volunteer",City of Augusta City of Augusta The City of Augusta Ga's Cyber & Robotics Camp,6
30,Oracle Database Administrator Oracle Database Administrator Oracle Database Administrator Oracle Database Administrator,Delta Airlines Qualcomm Comcast Ameriprise Financials,15
31,Database Administrator Data Modeler/ DBA Database Administrator Database Administrator Programmer/DBA,HPE/DXC/Perspecta Ally Financials University Of Michigan CARFAX Inc ORSCHELN FARM & HOME,15
32,Sr Enterprise Database Administrator Sr Enterprise Database Administrator Sr Enterprise Database Administrator - Consultant Sr Enterprise Database Administrator - Consultant,Financial Services Company HLT Dallas Cowboys Lucernex Technologies,8
33,Oracle Database Administrator Oracle Production Support Database Administrator,Cotiviti FIU College of education,13
